"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","merge_col"
"WGN07","C",41,82,"WGN07D41",1391,"STP",2017,2,52,14,NA,"WGN07D41_STP_2017_2"
"WGN07","D",42,83,"WGN07C42",42,"STP",2017,1,19,17,NA,"WGN07C42_STP_2017_1"
"WGN07","D",42,83,"WGN07C42",1327,"STP",2017,2,61,33,NA,"WGN07C42_STP_2017_2"
"WGN07","C",42,84,"WGN07D42",107,"STP",2017,1,11,41,NA,"WGN07D42_STP_2017_1"
"WGN07","C",42,84,"WGN07D42",1392,"STP",2017,2,40,24,NA,"WGN07D42_STP_2017_2"
"WGN07","D",43,85,"WGN07C43",43,"STP",2017,1,30,3,NA,"WGN07C43_STP_2017_1"
"WGN07","D",43,85,"WGN07C43",1328,"STP",2017,2,52,26,NA,"WGN07C43_STP_2017_2"
"WGN07","C",43,86,"WGN07D43",108,"STP",2017,1,13,40,NA,"WGN07D43_STP_2017_1"
"WGN07","C",43,86,"WGN07D43",1393,"STP",2017,2,46,1,NA,"WGN07D43_STP_2017_2"
"WGN07","D",44,87,"WGN07C44",44,"STP",2017,1,23,29,NA,"WGN07C44_STP_2017_1"
"WGN07","D",44,87,"WGN07C44",1329,"STP",2017,2,36,19,NA,"WGN07C44_STP_2017_2"
"WGN07","C",44,88,"WGN07D44",109,"STP",2017,1,30,28,NA,"WGN07D44_STP_2017_1"
"WGN07","C",44,88,"WGN07D44",1394,"STP",2017,2,59,17,NA,"WGN07D44_STP_2017_2"
"WGN07","D",45,89,"WGN07C45",45,"STP",2017,1,23,21,NA,"WGN07C45_STP_2017_1"
"WGN07","D",45,89,"WGN07C45",1330,"STP",2017,2,36,17,NA,"WGN07C45_STP_2017_2"
"WGN07","C",45,90,"WGN07D45",110,"STP",2017,1,3,40,NA,"WGN07D45_STP_2017_1"
"WGN07","C",45,90,"WGN07D45",1395,"STP",2017,2,59,1,NA,"WGN07D45_STP_2017_2"
"WGN07","D",46,91,"WGN07C46",46,"STP",2017,1,2,11,NA,"WGN07C46_STP_2017_1"
"WGN07","D",46,91,"WGN07C46",1331,"STP",2017,2,51,24,NA,"WGN07C46_STP_2017_2"
"WGN07","C",46,92,"WGN07D46",111,"STP",2017,1,14,22,NA,"WGN07D46_STP_2017_1"
"WGN07","C",46,92,"WGN07D46",1396,"STP",2017,2,45,11,NA,"WGN07D46_STP_2017_2"
"WGN07","D",47,93,"WGN07C47",47,"STP",2017,1,8,9,NA,"WGN07C47_STP_2017_1"
"WGN07","D",47,93,"WGN07C47",1332,"STP",2017,2,49,22,NA,"WGN07C47_STP_2017_2"
"WGN07","C",47,94,"WGN07D47",112,"STP",2017,1,23,39,NA,"WGN07D47_STP_2017_1"
"WGN07","C",47,94,"WGN07D47",1397,"STP",2017,2,47,19,NA,"WGN07D47_STP_2017_2"
"WGN07","D",48,95,"WGN07C48",48,"STP",2017,1,9,1,NA,"WGN07C48_STP_2017_1"
"WGN07","D",48,95,"WGN07C48",1333,"STP",2017,2,42,19,NA,"WGN07C48_STP_2017_2"
"WGN07","C",48,96,"WGN07D48",113,"STP",2017,1,9,41,NA,"WGN07D48_STP_2017_1"
"WGN07","C",48,96,"WGN07D48",1398,"STP",2017,2,40,20,NA,"WGN07D48_STP_2017_2"
"WGN07","D",49,97,"WGN07C49",49,"STP",2017,1,14,34,NA,"WGN07C49_STP_2017_1"
"WGN07","D",49,97,"WGN07C49",1334,"STP",2017,2,40,32,NA,"WGN07C49_STP_2017_2"
"WGN07","C",49,98,"WGN07D49",114,"STP",2017,1,2,19,NA,"WGN07D49_STP_2017_1"
"WGN07","C",49,98,"WGN07D49",1399,"STP",2017,2,48,13,NA,"WGN07D49_STP_2017_2"
"WGN07","D",50,99,"WGN07C50",50,"STP",2017,1,14,35,NA,"WGN07C50_STP_2017_1"
"WGN07","D",50,99,"WGN07C50",1335,"STP",2017,2,49,24,NA,"WGN07C50_STP_2017_2"
"WGN07","C",50,100,"WGN07D50",115,"STP",2017,1,12,12,NA,"WGN07D50_STP_2017_1"
"WGN07","C",50,100,"WGN07D50",1400,"STP",2017,2,60,40,NA,"WGN07D50_STP_2017_2"
"WGN07","D",51,101,"WGN07C51",51,"STP",2017,1,14,24,NA,"WGN07C51_STP_2017_1"
"WGN07","D",51,101,"WGN07C51",1336,"STP",2017,2,44,32,NA,"WGN07C51_STP_2017_2"
"WGN07","C",51,102,"WGN07D51",116,"STP",2017,1,8,4,NA,"WGN07D51_STP_2017_1"
"WGN07","C",51,102,"WGN07D51",1401,"STP",2017,2,43,1,NA,"WGN07D51_STP_2017_2"
"WGN07","D",52,103,"WGN07C52",52,"STP",2017,1,19,36,NA,"WGN07C52_STP_2017_1"
"WGN07","D",52,103,"WGN07C52",1337,"STP",2017,2,44,21,NA,"WGN07C52_STP_2017_2"
"WGN07","C",52,104,"WGN07D52",117,"STP",2017,1,10,30,NA,"WGN07D52_STP_2017_1"
"WGN07","C",52,104,"WGN07D52",1402,"STP",2017,2,37,20,NA,"WGN07D52_STP_2017_2"
"WGN07","D",53,105,"WGN07C53",53,"STP",2017,1,9,24,NA,"WGN07C53_STP_2017_1"
"WGN07","D",53,105,"WGN07C53",1338,"STP",2017,2,46,13,NA,"WGN07C53_STP_2017_2"
"WGN07","C",53,106,"WGN07D53",118,"STP",2017,1,16,24,NA,"WGN07D53_STP_2017_1"
"WGN07","C",53,106,"WGN07D53",1403,"STP",2017,2,44,35,NA,"WGN07D53_STP_2017_2"
"WGN07","D",54,107,"WGN07C54",54,"STP",2017,1,22,32,NA,"WGN07C54_STP_2017_1"
"WGN07","D",54,107,"WGN07C54",1339,"STP",2017,2,59,22,NA,"WGN07C54_STP_2017_2"
"WGN07","C",54,108,"WGN07D54",119,"STP",2017,1,4,29,NA,"WGN07D54_STP_2017_1"
"WGN07","C",54,108,"WGN07D54",1404,"STP",2017,2,64,17,NA,"WGN07D54_STP_2017_2"
"WGN07","D",55,109,"WGN07C55",55,"STP",2017,1,5,25,NA,"WGN07C55_STP_2017_1"
"WGN07","D",55,109,"WGN07C55",1340,"STP",2017,2,48,9,NA,"WGN07C55_STP_2017_2"
"WGN07","C",55,110,"WGN07D55",120,"STP",2017,1,26,30,NA,"WGN07D55_STP_2017_1"
"WGN07","C",55,110,"WGN07D55",1405,"STP",2017,2,54,31,NA,"WGN07D55_STP_2017_2"
"WGN07","D",56,111,"WGN07C56",56,"STP",2017,1,6,24,NA,"WGN07C56_STP_2017_1"
"WGN07","D",56,111,"WGN07C56",1341,"STP",2017,2,38,16,NA,"WGN07C56_STP_2017_2"
"WGN07","C",56,112,"WGN07D56",121,"STP",2017,1,8,31,NA,"WGN07D56_STP_2017_1"
"WGN07","C",56,112,"WGN07D56",1406,"STP",2017,2,41,40,NA,"WGN07D56_STP_2017_2"
"WGN07","D",57,113,"WGN07C57",57,"STP",2017,1,1,42,NA,"WGN07C57_STP_2017_1"
"WGN07","D",57,113,"WGN07C57",1342,"STP",2017,2,53,41,NA,"WGN07C57_STP_2017_2"
