"famID","parent","plantID","plantID3","longID","barcode","loc","year","rep","row","col","self","seed_area","seeds_per_spike"
"WGN07","C",52,104,"WGN07D52",1402,"STP",2017,2,37,20,NA,"7.7","4.701315789"
"WGN07","D",53,105,"WGN07C53",53,"STP",2017,1,9,24,NA,"7.7","4.72987013"
"WGN07","D",53,105,"WGN07C53",1338,"STP",2017,2,46,13,NA,"7.9","4.680555556"
"WGN07","C",53,106,"WGN07D53",118,"STP",2017,1,16,24,NA,"8.3","4.180645161"
"WGN07","C",53,106,"WGN07D53",1403,"STP",2017,2,44,35,NA,"8.2","4.0625"
"WGN07","D",54,107,"WGN07C54",54,"STP",2017,1,22,32,NA,"8.3","3.111290323"
"WGN07","D",54,107,"WGN07C54",1339,"STP",2017,2,59,22,NA,"8.4","3.763636364"
"WGN07","C",54,108,"WGN07D54",119,"STP",2017,1,4,29,NA,"7.8","6.435483871"
"WGN07","C",54,108,"WGN07D54",1404,"STP",2017,2,64,17,NA,"7.9","4.545454545"
"WGN07","D",55,109,"WGN07C55",55,"STP",2017,1,5,25,NA,"8.9","2.736842105"
"WGN07","D",55,109,"WGN07C55",1340,"STP",2017,2,48,9,NA,"7.8","3.010169492"
"WGN07","C",55,110,"WGN07D55",120,"STP",2017,1,26,30,NA,"7.8","5.521875"
"WGN07","C",55,110,"WGN07D55",1405,"STP",2017,2,54,31,NA,"8.3","4.821126761"
"WGN07","D",56,111,"WGN07C56",56,"STP",2017,1,6,24,NA,"8.3","4.370769231"
"WGN07","D",56,111,"WGN07C56",1341,"STP",2017,2,38,16,NA,"8.5","3.731506849"
"WGN07","C",56,112,"WGN07D56",121,"STP",2017,1,8,31,NA,"8.2","3.588"
"WGN07","C",56,112,"WGN07D56",1406,"STP",2017,2,41,40,NA,"8.2","4.169312169"
"WGN07","D",57,113,"WGN07C57",57,"STP",2017,1,1,42,NA,"8.2","4.536923077"
"WGN07","D",57,113,"WGN07C57",1342,"STP",2017,2,53,41,NA,"7.1","4.561111111"
"WGN07","C",57,114,"WGN07D57",122,"STP",2017,1,19,28,NA,"7","4.101315789"
"WGN07","C",57,114,"WGN07D57",1407,"STP",2017,2,53,20,NA,"6.8","3.737837838"
"WGN07","D",58,115,"WGN07C58",58,"STP",2017,1,5,24,NA,"8.9","4.741666667"
"WGN07","D",58,115,"WGN07C58",1343,"STP",2017,2,58,6,NA,"8","4.713541667"
"WGN07","C",58,116,"WGN07D58",123,"STP",2017,1,15,36,NA,"8.4","4.328703704"
"WGN07","C",58,116,"WGN07D58",1408,"STP",2017,2,43,30,NA,"8.1","4.666666667"
"WGN07","D",59,117,"WGN07C59",59,"STP",2017,1,5,9,NA,"7.3","3.942253521"
"WGN07","D",59,117,"WGN07C59",1344,"STP",2017,2,42,5,NA,"7.5","4.722891566"
"WGN07","C",59,118,"WGN07D59",124,"STP",2017,1,24,24,NA,"7.9","3.545070423"
"WGN07","C",59,118,"WGN07D59",1409,"STP",2017,2,38,24,NA,"8.4","4.981818182"
"WGN07","D",60,119,"WGN07C60",60,"STP",2017,1,21,23,NA,"7.2","5.112857143"
"WGN07","D",60,119,"WGN07C60",1345,"STP",2017,2,35,38,NA,"8.2","4.871641791"
"WGN07","C",60,120,"WGN07D60",125,"STP",2017,1,4,10,NA,"7.6","5.201694915"
"WGN07","C",60,120,"WGN07D60",1410,"STP",2017,2,50,38,NA,"7.3","4.2140625"
"WGN07","D",61,121,"WGN07C61",61,"STP",2017,1,4,22,NA,"6.8","3.777464789"
"WGN07","D",61,121,"WGN07C61",1346,"STP",2017,2,38,19,NA,"7.1","4.11971831"
"WGN07","C",61,122,"WGN07D61",126,"STP",2017,1,22,24,NA,"6.9","3.5"
"WGN07","C",61,122,"WGN07D61",1411,"STP",2017,2,63,19,NA,NA,NA
"WGN07","D",62,123,"WGN07C62",62,"STP",2017,1,2,3,NA,"7.1","4.533169533"
"WGN07","D",62,123,"WGN07C62",1347,"STP",2017,2,54,13,NA,"7.3","4.492405063"
"WGN07","C",62,124,"WGN07D62",127,"STP",2017,1,1,3,NA,"8.5","5.719672131"
"WGN07","C",62,124,"WGN07D62",1412,"STP",2017,2,57,26,NA,"8.3","5.214175655"
"WGN07","D",63,125,"WGN07C63",63,"STP",2017,1,16,31,NA,"7.4","3.977419355"
"WGN07","D",63,125,"WGN07C63",1348,"STP",2017,2,34,10,NA,"8.6","3.613432836"
"WGN07","C",63,126,"WGN07D63",128,"STP",2017,1,5,1,NA,"8.2","4.242253521"
"WGN07","C",63,126,"WGN07D63",1413,"STP",2017,2,56,24,NA,"7.6","4.335483871"
"WGN07","D",64,127,"WGN07C64",64,"STP",2017,1,24,22,NA,"8.7","5.158653846"
"WGN07","D",64,127,"WGN07C64",1349,"STP",2017,2,58,26,NA,"9.3","4.824324324"
"WGN07","C",64,128,"WGN07D64",129,"STP",2017,1,28,12,NA,"7.4","3.995652174"
"WGN07","C",64,128,"WGN07D64",1414,"STP",2017,2,61,21,NA,"7.3","4.053763441"
"WGN07","D",65,129,"WGN07C65",65,"STP",2017,1,27,2,NA,"8.2","4.990502035"
"WGN07","D",65,129,"WGN07C65",1350,"STP",2017,2,63,31,NA,"8.4","4.423848878"
"WGN07","C",65,130,"WGN07D65",130,"STP",2017,1,27,24,NA,"8","4.453055142"
"WGN07","C",65,130,"WGN07D65",1415,"STP",2017,2,61,3,NA,"7.8","4.166666667"
"WGN15","C",1,1,"WGN15C01",131,"STP",2017,1,32,42,NA,"8.8","4.575"
"WGN15","C",1,1,"WGN15C01",1416,"STP",2017,2,39,30,NA,"9.9","3.8953125"
"WGN15","D",1,2,"WGN15D01",196,"STP",2017,1,32,28,NA,"8","4.189090909"
"WGN15","D",1,2,"WGN15D01",1481,"STP",2017,2,40,16,NA,"8.4","4.545762712"
"WGN15","C",2,3,"WGN15C02",132,"STP",2017,1,32,12,NA,"8.2","4.567164179"
"WGN15","C",2,3,"WGN15C02",1417,"STP",2017,2,42,24,NA,"8.2","4.8"
"WGN15","D",2,4,"WGN15D02",197,"STP",2017,1,32,11,NA,"8","4.660869565"
"WGN15","D",2,4,"WGN15D02",1482,"STP",2017,2,57,24,NA,"8.9","5.445"
"WGN15","C",3,5,"WGN15C03",133,"STP",2017,1,17,35,NA,"8.9","4.233333333"
"WGN15","C",3,5,"WGN15C03",1418,"STP",2017,2,35,19,NA,"9.5","3.6"
"WGN15","D",3,6,"WGN15D03",198,"STP",2017,1,24,30,"self",NA,NA
"WGN15","D",3,6,"WGN15D03",1483,"STP",2017,2,59,42,"self",NA,NA
"WGN15","C",4,7,"WGN15C04",134,"STP",2017,1,25,35,NA,"8.7","3.991525424"
"WGN15","C",4,7,"WGN15C04",1419,"STP",2017,2,40,41,NA,"8.7","3.763157895"
"WGN15","D",4,8,"WGN15D04",199,"STP",2017,1,31,20,NA,"9.7","4.85625"
"WGN15","D",4,8,"WGN15D04",1484,"STP",2017,2,35,21,NA,"9.2","4.74375"
"WGN15","C",5,9,"WGN15C05",135,"STP",2017,1,12,7,NA,"9.5","4.782692308"
"WGN15","C",5,9,"WGN15C05",1420,"STP",2017,2,51,15,NA,"9.2","4.497217069"
