"height","reproductive_tiller_ct","florets_per_spikelet","emergence_percent","stem_diameter","yield_per_plant","floret_site_utilization","spikelet_density","yield_per_spike","thousand_grain_weight","spikelets_per_spike","merge_col","flag_leaf_area","anthesis_score"
"90","15","9","0.257142857","2.186666667","5.885474","0.451247166","0.9","0.656182","8.867",21,"WGN07D46_STP_2017_1",27.3,5
"95","57","9.333333333","0.437956204","2.073333333","27.429889","0.385714286","0.99270073","0.6618889","7.729",22.6666666666667,"WGN07D47_STP_2017_1",23.4,8
"80","34","9","0.421052632","2.163333333","8.47305","0.282010582","1.105263158","0.302255","9.831",21,"WGN07D48_STP_2017_1",15,6
"85","33","9.333333333","0.529411765","2.453333333","18.620836","0.600599401","0.955882353","0.902403273","9.138",21.6666666666667,"WGN07D49_STP_2017_1",19.2,6
"95","28","9.333333333","0.088235294","1.993333333","5.3179","0.525191327","0.823529412","0.67095","7.602",18.6666666666667,"WGN07D50_STP_2017_1",14.4,6
"100","25","10.33333333","0.431137725","2.856666667","13.83","0.421961997","0.874251497","0.993","10.338",24.3333333333333,"WGN07D51_STP_2017_1",25.2,7
"100","51","8.666666667","0.5","2.253333333",NA,"0.591973244","0.884615385","0.915818182","8.009",23,"WGN07D52_STP_2017_1",20.4,7
"120","91","7.333333333","0.703125","2.06","37.81218","0.570087977","0.96875","0.747418","9.329",20.6666666666667,"WGN07D53_STP_2017_1",27.6,8
"95","1","9.333333333","0.220858896","2.566666667","4.499524","0.689516129","0.760736196","1.124881","8.845",20.6666666666667,"WGN07D54_STP_2017_1",28.8,8
"100","40","9.666666667","0.608108108","2.49",NA,"0.571228448","0.864864865","0.9633988","8.71",21.3333333333333,"WGN07D55_STP_2017_1",28.5,8
"90","37","9.666666667","0.38028169","2.61","15.934289","0.371172414","1.056338028","0.7114389","9.029",25,"WGN07D56_STP_2017_1",20.8,7
"80","27","11.33333333","0.4","2.656666667","13.289013","0.361880805","1.013333333","0.6808513","7.597",25.3333333333333,"WGN07D57_STP_2017_1",21.6,6
"100","38","6.333333333","0.375","2.373333333","19.341088","0.683479532","0.9","0.853632","9.21",24,"WGN07D58_STP_2017_1",25.2,8
"75","42","10.66666667","0.431654676","2.39","18.536","0.332350352","1.021582734","0.6236","8.307",23.6666666666667,"WGN07D59_STP_2017_1",20.4,6
"90","34","9","0.633802817","1.9","14.28053","0.577966102","0.830985915","0.768103","8.324",19.6666666666667,"WGN07D60_STP_2017_1",19.2,8
"100","19","9.333333333","0.372413793","1.97","4.164469","0.375","0.910344828","0.458246125","6.884",22,"WGN07D61_STP_2017_1",16,7
"110","52","10.66666667","0.653846154","2.25","27.05858","0.536219262","0.782051282","1.080748","10",20.3333333333333,"WGN07D62_STP_2017_1",24.7,9
